月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
1,12,广东和立土木工程有限公司佛山分公司-省交院账簿类型,银收-0001,1,库存现金存入银行,100206,100206\银行存款\中信银行,【银行账户：中信银行佛山南海大道支行1434】,人民币,"2,400.00",,,
1,12,广东和立土木工程有限公司佛山分公司-省交院账簿类型,银收-0001,2,库存现金存入银行,1001,1001\库存现金,,人民币,,"2,400.00",,
1,16,广东和立土木工程有限公司佛山分公司-省交院账簿类型,银付-0001,1,缴纳 12月 个人所得税,222108,222108\应交税费\应交个人所得税,【绩效部门hl：工程】,人民币,"3,630.26",,,
1,16,广东和立土木工程有限公司佛山分公司-省交院账簿类型,银付-0001,2,缴纳 12月 个人所得税,100206,100206\银行存款\中信银行,【银行账户：中信银行佛山南海大道支行1434】,人民币,,"3,630.26",,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,1,列 和立代付 1月社保费 养老保险,22110201,22110201\应付职工薪酬\应付社会保险费\养老保险金,【绩效部门hl：工程】,人民币,"8,392.44",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,2,列 和立代付 1月社保费 医疗保险,22110203,22110203\应付职工薪酬\应付社会保险费\医疗保险费,【绩效部门hl：工程】,人民币,"4,171.85",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,3,列 和立代付 1月社保费 失业保险,22110204,22110204\应付职工薪酬\应付社会保险费\失业保险金,【绩效部门hl：工程】,人民币,194.89,,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,4,列 和立代付 1月社保费 工伤保险,22110205,22110205\应付职工薪酬\应付社会保险费\工伤保险金,【绩效部门hl：工程】,人民币,209.51,,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,5,列 和立代付 1月社保费 养老保险-个人,1221020301,1221020301\其他应收款\员工往来\个人自负费用\养老保险金,,人民币,"4,795.68",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,6,列 和立代付 1月社保费 医疗保险-个人,1221020302,1221020302\其他应收款\员工往来\个人自负费用\医疗保险金,,人民币,"1,218.06",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,7,列 和立代付 1月社保费 失业保险-个人,1221020303,1221020303\其他应收款\员工往来\个人自负费用\失业保险金,,人民币,121.80,,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0001,8,列 和立代付 1月社保费,224101,224101\其他应付款\单位往来,【客商：广东和立交通养护科技有限公司】【款项名称：无】【绩效部门hl：工程】,人民币,,"19,104.23",,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0002,1,计提 1月社保 养老保险 单位 研发中心,5301010201,5301010201\研发支出\费用化支出\社会保险费\养老保险金,【部门：研发中心】【绩效部门hl：工程】,人民币,"8,392.44",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0002,2,计提 1月社保 医疗保险 单位 研发中心,5301010203,5301010203\研发支出\费用化支出\社会保险费\医疗保险费,【部门：研发中心】【绩效部门hl：工程】,人民币,"4,171.85",,,
1,31,广东和立土木工程有限公司佛山分公司-省交院账簿类型,转-0002,3,计提 1月社保 失业保险 单位 研发中心,5301010204,5301010204\研发支出\费用化支出\社会保险费\失业保险金,【部门：研发中心】【绩效部门hl：工程】,人民币,194.89,,,
