月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,1,付 中信银行普通转账（跨行）手续费,660304,660304\财务费用\银行手续费,【绩效部门hl：盛翔本部】,人民币,3.60,,,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,2,付 中信银行普通转账（跨行）手续费,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,3.60,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,1,付鲁王涛报销款,224102,224102\其他应付款\员工往来,【人员档案：鲁王涛】【绩效部门hl：盛翔本部】,人民币,397.50,,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,2,付鲁王涛报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,397.50,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,3,付连立报销款,224102,224102\其他应付款\员工往来,【人员档案：连立】【绩效部门hl：盛翔本部】,人民币,"1,162.96",,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,4,付连立报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"1,162.96",,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,5,付王俊惠报销款,224102,224102\其他应付款\员工往来,【人员档案：王俊惠】【绩效部门hl：盛翔本部】,人民币,"21,400.00",,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,6,付王俊惠报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"21,400.00",,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,7,付龙花报销款,224102,224102\其他应付款\员工往来,【人员档案：龙花】【绩效部门hl：盛翔本部】,人民币,"27,936.66",,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,8,付龙花报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"27,936.66",,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,1,收 广东盛翔交通工程检测有限公司往来款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"200,000.00",,,
1,11,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,2,收 广东盛翔交通工程检测有限公司往来款,1310,1310\内部往来,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,,"200,000.00",,
1,28,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0002,1,盛翔公司代缴12月职工住房公积金,224104,224104\其他应付款\应付住房公积金,【绩效部门hl：盛翔本部】,人民币,"2,980.00",,,
1,28,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0002,2,盛翔公司代缴12月职工住房公积金,221106,221106\应付职工薪酬\应付住房公积金,【绩效部门hl：盛翔本部】,人民币,"2,980.00",,,
1,28,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0002,3,盛翔公司代缴12月职工住房公积金,1310,1310\内部往来,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,,"5,960.00",,
1,28,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0003,1,和立公司代缴2023年12月工会经费,221105,221105\应付职工薪酬\应付职工工会经费,【绩效部门hl：盛翔本部】,人民币,207.00,,,
1,28,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0003,2,和立公司代缴2023年12月工会经费,224101,224101\其他应付款\单位往来,【客商：广东和立交通养护科技有限公司】【款项名称：无】【绩效部门hl：盛翔本部】,人民币,,207.00,,
1,29,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0004,1,计提1月职工工资,510101,510101\制造费用\工资薪金,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,"17,306.00",,,
1,29,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0004,2,计提1月职工工资,2211010101,2211010101\应付职工薪酬\短期薪酬\工资薪金\工资、奖金、津贴和补贴,【绩效部门hl：盛翔本部】,人民币,,"17,306.00",,
1,29,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0005,1,计提1月工会经费,660207,660207\管理费用\工会经费,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,346.12,,,
