月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,1,付 中信银行普通转账（跨行）手续费,660304,660304\财务费用\银行手续费,【绩效部门hl：盛翔本部】,人民币,18.00,,,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,2,付 中信银行普通转账（跨行）手续费,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,18.00,,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0003,1,付 荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测 2022-SXJC-0089-江门分公司 江门市志诚岩土科技有限公司 合作款 NO:0629101664（税率6%）发票金额259736元,220202,220202\应付账款\应付账款（新）,【客商：江门市志诚岩土科技有限公司】【项目：荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测2022-SXJC-0089-江门分公司】【绩效部门hl：盛翔本部】【托外流水号：2022-SXJC-0089-江门分公司-托3】,人民币,"259,736.00",,,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0003,2,付 荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测 2022-SXJC-0089-江门分公司 江门市志诚岩土科技有限公司 合作款 NO:0629101664（税率6%）发票金额259736元,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"259,736.00",,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0003,3,付 荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测 2022-SXJC-0089-江门分公司 江门市志诚岩土科技有限公司 合作款 NO:0629101664（税率6%）发票金额259736元,222118,222118\应交税费\待认证进项税额,【绩效部门hl：盛翔本部】,人民币,"14,702.04",,,
1,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0003,4,付 荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测 2022-SXJC-0089-江门分公司 江门市志诚岩土科技有限公司 合作款 NO:0629101664（税率6%）发票金额259736元,220203,220203\应付账款\暂估进项税,【客商：江门市志诚岩土科技有限公司】【项目：荷塘镇康溪工业园及禾冈物流园周边市政道路升级改造工程项目道路检测服务检测2022-SXJC-0089-江门分公司】【绩效部门hl：盛翔本部】【托外流水号：2022-SXJC-0089-江门分公司-托3】,人民币,,"14,702.04",,
1,8,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,1,付 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司 江门市志诚检测技术有限公司 合作款 NO:0629035293（税率1%）发票金额143147元,220202,220202\应付账款\应付账款（新）,【客商：江门市志诚检测技术有限公司】【项目：滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司】【绩效部门hl：盛翔本部】【托外流水号：2022-SXJC-0046-江门分公司-托1】,人民币,"143,147.00",,,
1,8,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,2,付 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司 江门市志诚检测技术有限公司 合作款 NO:0629035293（税率1%）发票金额143147元,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"143,147.00",,
1,8,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,3,付 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司 江门市志诚检测技术有限公司 合作款 NO:0629035293（税率1%）发票金额143147元,222118,222118\应交税费\待认证进项税额,【绩效部门hl：盛翔本部】,人民币,"1,417.30",,,
1,8,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,4,付 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司 江门市志诚检测技术有限公司 合作款 NO:0629035293（税率1%）发票金额143147元,220203,220203\应付账款\暂估进项税,【客商：江门市志诚检测技术有限公司】【项目：滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司】【绩效部门hl：盛翔本部】【托外流水号：2022-SXJC-0046-江门分公司-托1】,人民币,,"1,417.30",,
1,13,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0004,1,缴纳12月员工个人所得税,222108,222108\应交税费\应交个人所得税,【绩效部门hl：盛翔本部】,人民币,"4,799.32",,,
1,13,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0004,2,缴纳12月员工个人所得税,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"4,799.32",,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0001,1,确认使用权资产与租赁负债-江门市蓬江区江门万达广场17幢1212室,164101,164101\使用权资产\房屋及建筑物,【绩效部门hl：盛翔本部】【物业地址：江门市蓬江区江门万达广场17幢1212室】,人民币,"21,000.00",,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0001,2,确认使用权资产与租赁负债-江门市蓬江区江门万达广场17幢1212室,260301,260301\租赁负债\房屋及建筑物,【绩效部门hl：盛翔本部】【物业地址：江门市蓬江区江门万达广场17幢1212室】,人民币,,"21,000.00",,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0002,1,和立公司代缴12月工会经费,221105,221105\应付职工薪酬\应付职工工会经费,【绩效部门hl：盛翔本部】,人民币,291.20,,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0002,2,和立公司代缴12月工会经费,224101,224101\其他应付款\单位往来,【客商：广东和立交通养护科技有限公司】【款项名称：无】【绩效部门hl：盛翔本部】,人民币,,291.20,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0003,1,盛翔公司代缴12月职工住房公积金-单位,221106,221106\应付职工薪酬\应付住房公积金,【绩效部门hl：盛翔本部】,人民币,"1,849.00",,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0003,2,盛翔公司代缴12月职工住房公积金-个人,224104,224104\其他应付款\应付住房公积金,【绩效部门hl：盛翔本部】,人民币,"2,219.00",,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0003,3,盛翔公司代缴12月职工住房公积金,1310,1310\内部往来,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,,"4,068.00",,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0005,1,付 龙花经办 江门市蓬江区江门万达广场17幢1212室 2025年1-12月房租-叶倩芳,260301,260301\租赁负债\房屋及建筑物,【绩效部门hl：盛翔本部】【物业地址：江门市蓬江区江门万达广场17幢1212室】,人民币,"21,000.00",,,
1,23,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0005,2,付 龙花经办 江门市蓬江区江门万达广场17幢1212室 2025年1-12月房租-叶倩芳,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"21,000.00",,
1,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0004,1,计提1月职工工资,510101,510101\制造费用\工资薪金,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,"15,590.00",,,
1,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0004,2,计提1月职工工资,2211010101,2211010101\应付职工薪酬\短期薪酬\工资薪金\工资、奖金、津贴和补贴,【绩效部门hl：盛翔本部】,人民币,,"15,590.00",,
1,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0005,1,计提1月工会经费,660207,660207\管理费用\工会经费,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,311.80,,,
1,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0005,2,计提1月工会经费,221105,221105\应付职工薪酬\应付职工工会经费,【绩效部门hl：盛翔本部】,人民币,,311.80,,
1,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,转-0006,1,计提1月职工社保费,51010201,51010201\制造费用\社会保险费\养老保险金,【部门：盛翔-盛翔本部】【绩效部门hl：盛翔本部】,人民币,"2,959.04",,,
