月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
7,25,广州和昇智通科技有限公司-省交院账簿类型,银收-0001,1,收 和立公司投资款,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,"300,000.00",,,
7,25,广州和昇智通科技有限公司-省交院账簿类型,银收-0001,2,收 和立公司投资款,4001,4001\实收资本,【客商：广东和立交通养护科技有限公司】【绩效部门hl：公司本部】,人民币,,"300,000.00",,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,1,扣缴 7月单位负担职工社会保险费 养老,22110201,22110201\应付职工薪酬\应付社会保险费\养老保险金,【绩效部门hl：和昇本部】,人民币,"5,443.20",,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,2,扣缴 7月单位负担职工社会保险费 医疗,22110203,22110203\应付职工薪酬\应付社会保险费\医疗保险费,【绩效部门hl：和昇本部】,人民币,"1,941.41",,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,3,扣缴 7月单位负担职工社会保险费 失业,22110204,22110204\应付职工薪酬\应付社会保险费\失业保险金,【绩效部门hl：和昇本部】,人民币,290.30,,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,4,扣缴 7月单位负担职工社会保险费 工伤,22110205,22110205\应付职工薪酬\应付社会保险费\工伤保险金,【绩效部门hl：和昇本部】,人民币,72.58,,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,5,扣缴 7月职工社会保险费 养老 个人,1221020301,1221020301\其他应收款\员工往来\个人自负费用\养老保险金,,人民币,"2,903.04",,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,6,扣缴 7月职工社会保险费 医疗 个人,1221020302,1221020302\其他应收款\员工往来\个人自负费用\医疗保险金,,人民币,725.76,,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,7,扣缴 7月职工社会保险费 失业 个人,1221020303,1221020303\其他应收款\员工往来\个人自负费用\失业保险金,,人民币,72.58,,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,8,扣缴 7月职工社会保险费（单位+个人）,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"11,448.87",,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,1,付 7月员工工资,2211010101,2211010101\应付职工薪酬\短期薪酬\工资薪金\工资、奖金、津贴和补贴,【绩效部门hl：和昇本部】,人民币,"33,331.00",,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,2,付 7月员工工资 代扣养老保险个人部分,1221020301,1221020301\其他应收款\员工往来\个人自负费用\养老保险金,,人民币,,"2,903.04",,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,3,付 7月员工工资 代扣医疗保险个人部分,1221020302,1221020302\其他应收款\员工往来\个人自负费用\医疗保险金,,人民币,,725.76,,
7,26,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,4,付 7月员工工资 代扣失业保险个人部分,1221020303,1221020303\其他应收款\员工往来\个人自负费用\失业保险金,,人民币,,72.58,,
