月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,1,代缴 12月 个人所得税,222108,222108\应交税费\应交个人所得税,【绩效部门hl：公司本部】,人民币,"1,992.68",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0001,2,代缴 12月 个人所得税,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"1,992.68",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,1,付 程征金 申请支付 深圳市捷感科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款（合同价款80%）,53010105,53010105\研发支出\费用化支出\材料费,【部门：硬件开发部】【绩效部门hl：和昇本部】,人民币,"51,708.00",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,2,付 程征金 申请支付 深圳市捷感科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款（合同价款80%）,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"41,366.40",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,3,应付 深圳市捷感科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款（合同价款20%）,224101,224101\其他应付款\单位往来,【客商：深圳市捷感科技有限公司】【款项名称：无】【绩效部门hl：和昇本部】,人民币,,"10,341.60",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,4,付 程征金 申请支付 万物互联（深圳）智能传感有限责任公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款,53010105,53010105\研发支出\费用化支出\材料费,【部门：硬件开发部】【绩效部门hl：和昇本部】,人民币,"14,250.00",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,5,【进项发票】付 程征金 申请支付 万物互联（深圳）智能传感有限责任公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款 NO.25952000000005439888 税率13% 价税合计14250,22210110,22210110\应交税费\应交增值税\待认证进项税额,【绩效部门hl：公司本部】,人民币,"1,639.38",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,6,【进项转出】付 程征金 申请支付 万物互联（深圳）智能传感有限责任公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款 NO.25952000000005439888 税率13% 价税合计14250,22210103,22210103\应交税费\应交增值税\进项税额转出,【绩效部门hl：公司本部】,人民币,,"1,639.38",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,7,付 程征金 申请支付 万物互联（深圳）智能传感有限责任公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"14,250.00",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,8,付 程征金 申请支付 深圳市瑞芬科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款,53010105,53010105\研发支出\费用化支出\材料费,【部门：硬件开发部】【绩效部门hl：和昇本部】,人民币,"4,350.00",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,9,【进项发票】付 程征金 申请支付 深圳市瑞芬科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款 NO.25952000000005934703 税率13% 价税合计4350,22210110,22210110\应交税费\应交增值税\待认证进项税额,【绩效部门hl：公司本部】,人民币,500.44,,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,10,【进项转出】付 程征金 申请支付 深圳市瑞芬科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款 NO.25952000000005934703 税率13% 价税合计4350,22210103,22210103\应交税费\应交增值税\进项税额转出,【绩效部门hl：公司本部】,人民币,,500.44,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,11,付 程征金 申请支付 深圳市瑞芬科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"4,350.00",,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,12,付 程征金 申请支付 深圳市捷感科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款（合同价款20%）,53010105,53010105\研发支出\费用化支出\材料费,【部门：硬件开发部】【绩效部门hl：和昇本部】,人民币,"18,358.00",,,
1,13,广州和昇智通科技有限公司-省交院账簿类型,银付-0002,13,付 程征金 申请支付 深圳市捷感科技有限公司 桥梁结构安全倾斜微振智能监测仪研发项目 货款（合同价款20%）,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"18,358.00",,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,1,扣缴 1月单位负担职工社会保险费 养老,22110201,22110201\应付职工薪酬\应付社会保险费\养老保险金,【绩效部门hl：和昇本部】,人民币,"5,806.08",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,2,扣缴 1月单位负担职工社会保险费 医疗,22110203,22110203\应付职工薪酬\应付社会保险费\医疗保险费,【绩效部门hl：和昇本部】,人民币,"1,941.41",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,3,扣缴 1月单位负担职工社会保险费 失业,22110204,22110204\应付职工薪酬\应付社会保险费\失业保险金,【绩效部门hl：和昇本部】,人民币,290.30,,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,4,扣缴 1月单位负担职工社会保险费 工伤,22110205,22110205\应付职工薪酬\应付社会保险费\工伤保险金,【绩效部门hl：和昇本部】,人民币,72.58,,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,5,扣缴 1月职工社会保险费 养老 个人,1221020301,1221020301\其他应收款\员工往来\个人自负费用\养老保险金,,人民币,"2,903.04",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,6,扣缴 1月职工社会保险费 医疗 个人,1221020302,1221020302\其他应收款\员工往来\个人自负费用\医疗保险金,,人民币,725.76,,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,7,扣缴 1月职工社会保险费 失业 个人,1221020303,1221020303\其他应收款\员工往来\个人自负费用\失业保险金,,人民币,72.58,,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0003,8,扣缴 1月职工社会保险费（单位+个人）,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"11,811.75",,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0004,1,付 程征金 借支备用金,12210201,12210201\其他应收款\员工往来\个人备用金,【部门：硬件开发部】【人员档案：程征金】【绩效部门hl：和昇本部】,人民币,"15,000.00",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0004,2,付 程征金 借支备用金,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"15,000.00",,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0005,1,付 刘海龙 申请支付 深圳市博和科技有限公司 智测桩智能展示插件 货款,12210102,12210102\其他应收款\单位往来\其他往来,【客商：深圳市博和科技有限公司】【绩效部门hl：和昇本部】,人民币,"42,300.00",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0005,2,付 刘海龙 申请支付 深圳市博和科技有限公司 智测桩智能展示插件 货款,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"42,300.00",,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0006,1,付 刘海龙 借支备用金,12210201,12210201\其他应收款\员工往来\个人备用金,【部门：硬件开发部】【人员档案：刘海龙】【绩效部门hl：和昇本部】,人民币,"15,000.00",,,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0006,2,付 刘海龙 借支备用金,100201,100201\银行存款\工商银行,【银行账户：东城支行62463】,人民币,,"15,000.00",,
1,24,广州和昇智通科技有限公司-省交院账簿类型,银付-0007,1,付 1月员工工资,2211010101,2211010101\应付职工薪酬\短期薪酬\工资薪金\工资、奖金、津贴和补贴,【绩效部门hl：和昇本部】,人民币,"51,003.00",,,
