月,日,核算账簿名称,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种,借方-本币,贷方-本币,核销信息,结算信息
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,1,付 张选理经办缴纳12月增值税,222102,222102\应交税费\未交增值税,【绩效部门hl：盛翔本部】,人民币,"26,552.76",,,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,2,付 张选理经办缴纳12月城市维护建设税,222105,222105\应交税费\应交城市维护建设税,【绩效部门hl：盛翔本部】,人民币,"1,858.69",,,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,3,付 张选理经办缴纳12月教育费附加,222110,222110\应交税费\应交教育费附加,【绩效部门hl：盛翔本部】,人民币,796.58,,,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,4,付 张选理经办缴纳12月地方教育附加,222109,222109\应交税费\应交地方教育附加,【绩效部门hl：盛翔本部】,人民币,531.06,,,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,5,付 张选理经办缴纳12月增值税及附加税,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"29,739.09",,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,1,收 广东盛翔交通工程检测有限公司往来款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"100,000.00",,,
1,18,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,2,收 广东盛翔交通工程检测有限公司往来款,224101,224101\其他应付款\单位往来,【客商：广东盛翔交通工程检测有限公司】【款项名称：无】【绩效部门hl：盛翔本部】,人民币,,"100,000.00",,
1,19,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,1,付 中信银行 公司网银-数字证书年费,660304,660304\财务费用\银行手续费,【绩效部门hl：盛翔本部】,人民币,200,,,
1,19,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0002,2,付 中信银行 公司网银-数字证书年费,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,200,,
2,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,1,付 中信银行普通转账（跨行）手续费,660304,660304\财务费用\银行手续费,【绩效部门hl：盛翔本部】,人民币,7.2,,,
2,1,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,2,付 中信银行普通转账（跨行）手续费,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,7.2,,
2,14,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,1,收 广东盛翔交通工程检测有限公司往来款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"200,000.00",,,
2,14,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,2,收 广东盛翔交通工程检测有限公司往来款,224101,224101\其他应付款\单位往来,【客商：广东盛翔交通工程检测有限公司】【款项名称：无】【绩效部门hl：盛翔本部】,人民币,,"200,000.00",,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,1,付鲁王涛报销款,224102,224102\其他应付款\员工往来,【人员档案：鲁王涛】【绩效部门hl：盛翔本部】,人民币,21,,,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,2,付鲁王涛报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,21,,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,3,付连立报销款,224102,224102\其他应付款\员工往来,【人员档案：连立】【绩效部门hl：盛翔本部】,人民币,"12,536.97",,,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,4,付连立报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"12,536.97",,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,5,付肖敏报销款,224102,224102\其他应付款\员工往来,【人员档案：肖敏】【绩效部门hl：盛翔本部】,人民币,"14,142.10",,,
3,10,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银付-0001,6,付肖敏报销款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,,"14,142.10",,
3,21,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,1,收 中信银行季度结息,66030201,66030201\财务费用\利息收入\银行利息收入,【绩效部门hl：盛翔本部】,人民币,-76.74,,,
3,21,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0001,2,收 中信银行季度结息,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,76.74,,,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0002,1,收 甘北路（白石大道-高沙东路）工程特殊地基处理检测服务检测 2022-SXJC-0044 江门市蓬江区政府投资工程建设管理中心 检测款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"117,216.00",,,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0002,2,收 甘北路（白石大道-高沙东路）工程特殊地基处理检测服务检测 2022-SXJC-0044 江门市蓬江区政府投资工程建设管理中心 检测款,1122,1122\应收账款,【客商：江门市蓬江区政府投资工程建设管理中心】【项目：甘北路（白石大道-高沙东路）工程特殊地基处理检测服务检测2022-SXJC-0044-江门分公司】【绩效部门hl：盛翔本部】,人民币,,"117,216.00",,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0003,1,收 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046 江门市蓬江区政府投资工程建设管理中心 检测款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"184,442.88",,,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0003,2,收 滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046 江门市蓬江区政府投资工程建设管理中心 检测款,1122,1122\应收账款,【客商：江门市蓬江区政府投资工程建设管理中心】【项目：滨江新区鸿飞路（大林路-华盛路）工程特殊地基处理检测服务检测 2022-SXJC-0046-江门分公司】【绩效部门hl：盛翔本部】,人民币,,"184,442.88",,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0004,1,收 滨江新区鹤鸣路（陈垣路-汇泰路）及汇泰路（凤翔路-鹤鸣路）工程特殊地基处理检测服务检测 2022-SXJC-0045 江门市蓬江区政府投资工程建设管理中心 检测款,100206,100206\银行存款\中信银行,【银行账户：中信银行股份有限公司江门分行3659】,人民币,"170,319.84",,,
3,24,广东盛翔交通工程检测有限公司江门分公司-省交院账簿类型,银收-0004,2,收 滨江新区鹤鸣路（陈垣路-汇泰路）及汇泰路（凤翔路-鹤鸣路）工程特殊地基处理检测服务检测 2022-SXJC-0045 江门市蓬江区政府投资工程建设管理中心 检测款,1122,1122\应收账款,【客商：江门市蓬江区政府投资工程建设管理中心】【项目：滨江新区鹤鸣路（陈垣路-汇泰路）及汇泰路（凤翔路-鹤鸣路）工程特殊地基处理检测服务检测 2022-SXJC-0045-江门分公司】【绩效部门hl：盛翔本部】,人民币,,"170,319.84",,
